brand,desc,overall_rating,rating_count,original_price,discount_price,offer_percentage,image_url
HRX by Hrithik Roshan,Men Grey Typography Placement Printed T-shirt,"4.1
|
4.9k Ratings",4.9k Ratings,MRP ₹699,₹314,(55% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8878383/2019/3/22/d9ec9dde-655b-4bbb-bbdc-ff197d803ebc1553231528548-HRX-by-Hrithik-Roshan-Men-Tshirts-1501553231527908-1.jpg"");"
HRX by Hrithik Roshan,HRX By Hrithik Roshan Racketsport Men Optic White Rapid-Dry Abstract Tshirts,"4.3
|
336 Ratings",336 Ratings,MRP ₹1099,₹439,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16938146/2022/3/9/79692296-38ce-4fb1-be18-b0e33cbb3e871646804395659-HRX-by-Hrithik-Roshan-Men-Tshirts-2441646804395193-1.jpg"");"
HRX by Hrithik Roshan,Rapid-Dry T-shirt,"4.4
|
176 Ratings",176 Ratings,MRP ₹599,₹329,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22067592/2023/4/26/1ae2eb78-21e6-403a-8895-cad44bf8d8c21682504230072-HRX-by-Hrithik-Roshan-Men-Tshirts-4301682504229534-1.jpg"");"
HRX by Hrithik Roshan,Men White Orange Printed Cotton Pure Cotton T-shirt,"4
|
7.7k Ratings",7.7k Ratings,MRP ₹899,₹269,(70% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1700927/2020/1/22/09248dae-4ba2-402f-9743-5a8e79592b1f1579692842404-HRX-by-Hrithik-Roshan-Men-White--Orange-Printed-Round-Neck-T-1.jpg"");"
HRX by Hrithik Roshan,Men Black Solid Printed Lifestyle Pure Cotton T-shirt,"4
|
1k Ratings",1k Ratings,MRP ₹699,₹279,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11930110/2020/6/30/ffa0125d-6d56-4932-ab4e-c1c0f51a46031593514361907-HRX-by-Hrithik-Roshan-Men-Tshirts-9031593514359724-1.jpg"");"
HRX by Hrithik Roshan,Antimicrobial Training or Gym T-shirt,"4.2
|
207 Ratings",207 Ratings,MRP ₹599,₹329,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21464616/2023/2/20/d8dfd41e-5471-4dae-9a97-d7be07eb28ec1676874004706-HRX-by-Hrithik-Roshan-Men-Tshirts-5171676874003905-1.jpg"");"
HRX by Hrithik Roshan,Men Lifestyle Polo Collar T-shirt,"3.6
|
427 Ratings",427 Ratings,MRP ₹799,₹335,(58% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22086506/2023/2/28/47e0c03d-d512-48d0-b304-6b77696aea971677582447401-HRX-by-Hrithik-Roshan-Core-Olive-Mens-Lifestyle-Polo-Tshirts-1.jpg"");"
HRX by Hrithik Roshan,Typography Printed Casual T-shirt,Nil,Nil,MRP ₹699,₹279,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23069510/2023/9/28/121395f9-80db-4c54-850e-e494d54b135f1695883213795-HRX-by-Hrithik-Roshan-Men-Green--Yellow-Typography-Printed-T-1.jpg"");"
HRX by Hrithik Roshan,Printed Rapid-Dry Training T-shirt,"4.7
|
6 Ratings",6 Ratings,MRP ₹1499,₹449,( 70 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22049828/2023/9/6/c591ee02-9573-4c2d-86eb-27c889e9ece31693987980661-HRX-by-Hrithik-Roshan-Men-Charcoal-Printed-T-shirt-581693987-1.jpg"");"
HRX by Hrithik Roshan,Men Brand Logo Printed Regular Fit T-shirt,"4.3
|
38 Ratings",38 Ratings,MRP ₹899,₹404,(55% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25910996/2023/11/21/13683cdb-192e-43dd-8495-8d5ab3b1bb1a1700569078744-HRX-by-Hrithik-Roshan-Men-Tshirts-6631700569078442-1.jpg"");"
